id	value	where	script	output	tol	tier	label	notes
# CLAIMS.tsv — one row per printed number in Paper 1. Draft 2026-08-17.
# tier:  1 = deterministic/exact, runs in CI    2 = seeded/expensive, --full only
# label: reproduces | pinned | not-published    (an unlabelled row must fail verify)
# TODO markers are the rows that cannot yet be labelled "reproduces".
V-TV3	TV 0.0558, KL 0.0127 at tau=3	III-D	verify/check_b.py	results/validate/boltzmann_tv.json	1e-4	1	reproduces	validate.py check B
V-TV5	TV 0.037 at tau=5	III-D	verify/check_b.py	results/validate/boltzmann_tv.json	1e-3	1	reproduces	
V-TV10	TV 0.0225, KL 0.0023 at tau=10	III-D	verify/check_b.py	results/validate/boltzmann_tv.json	1e-4	1	reproduces	regression threshold
V-TVBAD	TV 0.235, pre-fix sampler	III-D	verify/check_b.py --legacy-sampler	results/validate/boltzmann_tv_legacy.json	1e-3	1	reproduces	rate-as-probability + decrement-after
R-SLOT0	6 of 12 instances	III-E	verify/check_c.py --slot0	results/validate/readout.json	exact	1	not-published	slot-restricted readout variant not in the released library; §III-E to be replaced with Paper 3's derivation (manuscript task A2)
R-AGN	12 of 12 instances	III-E	verify/check_c.py	results/validate/readout.json	exact	1	reproduces	
T-PATHCOUNTS	all 16 cells of tab:pathcounts	IV-A	experiments/table_pathcounts.py	results/tables/pathcounts.tsv	exact	1	reproduces	A4: counts one path configuration (not s-t paths); all 9 cells match derivations
T-ENCVERIFY	all 10 cells of tab:encverify	IV-B	experiments/table_encverify.py	results/tables/encverify.tsv	1e-9	1	reproduces	b_k sweep at b_st=b_k (settled convention); reproduces manuscript table (aug E_NC=-6.0 at b_k=-2); decomp==dense verified
TOL-REF	W*=0.548769 at L=8; rival W_Q=0.550628 at L=4	IV-C	experiments/lambda_tolerance.py --reference	results/tolerance/reference.json	1e-6	1	reproduces	corrects A50's single-instance reading
TOL-DENOM	denominator 4.648e-4; tolerance 1.9e-3 at c=4	IV-C	experiments/lambda_tolerance.py --reference	results/tolerance/reference.json	1e-7	1	reproduces	
TOL-POP	72 instances, depths 3-15, median denominator 5.2e-2	IV-C	experiments/lambda_tolerance.py	results/tolerance/population.csv	1e-3	1	reproduces	A52 rider
TOL-FAM	family medians 1.04 / 0.067 / 0.042 / 1.3e-3	IV-C	experiments/lambda_tolerance.py	results/tolerance/population.csv	1e-3	1	reproduces	lattice / sparse / dense / terrain
TOL-K	K=4000 reached on all 72; DFS agrees on 147 of 162 strata	IV-C	experiments/lambda_tolerance.py --crosscheck	results/tolerance/dfs_crosscheck.json	exact	2	reproduces	every D is an UPPER bound
T-DEGENERACY	all 36 cells of tab:degeneracy	IV-D	experiments/cooling_sweep.py	results/cooling/bk_sweep.csv	seeded	2	reproduces	re-run on the AUGMENTED construction with named seed=19 (Gary decision #1), deterministic; REPLACES the printed [VAR] cells -> manuscript must adopt [AUG] (target 20 active, E_N=-8.447)
DEG-TARGET	target: 16 active, 8 induced, E_N=-6.49	IV-D	experiments/cooling_sweep.py	results/cooling/bk_sweep.csv	1e-2	2	reproduces	reproduced deterministically by cooling_sweep (16 active, 8 induced, E_N=-6.489 on variant ideal state); output results/cooling/bk_sweep.csv
VAR-REF	E_NC=-7.000000, E_SPC=0.510616, Etilde=0.276267	IV-E	experiments/variant_ordering.py --reference	results/variant/reference.json	1e-6	1	reproduces	reference instance on the variant
VAR-EQWT	E_SPC 2.250000 / 1.500000; E_N -0.750000 / -1.500000	IV-E	experiments/variant_ordering.py	results/variant/constructed.json	1e-6	1	reproduces	(1,4,4,1) vs (4,1,1,4), equal total weight 10.0
VAR-INV	E_N -1.380000 vs -1.960000; heavier preferred by 0.58	IV-E	experiments/variant_ordering.py	results/variant/constructed.json	1e-6	1	reproduces	(0.1,4,4,0.1) w=8.2 vs (5,0.1,0.1,5) w=10.2
VAR-INV4	same inversion, 2.32 at c=4	IV-E	experiments/variant_ordering.py	results/variant/constructed.json	1e-6	1	reproduces	the abstract's 24 % — CONSTRUCTED, not sampled
M-VERIFY	16 rows, worst |measured - predicted| exactly zero	V-A	experiments/margin_verify.py	results/margin/verify.tsv	0.0	1	reproduces	A3; L in {3,5,8} + reference at c in {1,4}
